course,ISBN,title,author
FREN-102,9780073386454,Deux mondes,"Tracy Terrell, Mary Rogers, Betsy Kerr, Guy Spielmann"
FREN-201,9781617670435,Imaginez,VHL (Editor)
FREN-202,9781617670435,Imaginez,VHL (Editor)
FREN-241,9782070368075,"Huis Clos,suivi de Les Mouches (Folio)",Jean-Paul Sartre
FREN-251,9780195062762,Anthologie De La Litterature Francaise: Des Origines a La Fin du Dix-Huitieme Siecle,Robert Leggewie
FREN-251,9782264003799,Le Roman De Tristan et Iseult,Joseph Bedier
FREN-251,9782035859167,Phèdre,Jean Racine
FREN-320,9780826416001,French Cinema: From Its Beginnings to the Present,Rémi Fournier Lanzoni
FREN-355,9782253011095,Vagabonde,Colette
FREN-355,9782253139416,Paris Au XX Siecle (Le Livre de Poche),Jules Verne
FREN-355,9782035861566,Les Fleurs du mal,Charles Baudelaire
FREN-355,9782868698704,Terminus nord: Roman (French Edition),Malika Wagner
FYSM-101,9780231064156,"Sources of Indian Tradition, Vol. 2: Modern India and Pakistan",Stephen Hay
FYSM-101,9780521484435,The Republic,Plato
FYSM-101,9780321333032,Threshold of Democracy: Athens in 403 B.C.,"Mark C. Carnes, Josiah Ober"
FYSM-101,9780321355850,Defining a Nation: India on the Eve of Independence 1945,"Ainslie Embree, Mark C. Carnes"
FYSM-107,9780060005696,The Paradox of Choice: Why More Is Less,Barry Schwartz
FYSM-107,9780674034945,Creating a Class: College Admissions and the Education of Elites,Mitchell L. Stevens
FYSM-107,9780807754047,Interviewing as Qualitative Research,Irving Seidman
FYSM-107,9780385349949,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg
FYSM-115,9780743216760,The Measure of All Things: The Seven-Year Odyssey and Hidden Error That Transformed the World,Ken Alder
FYSM-115,9780140455113,The Republic,Plato
FYSM-115,9780199537501,Flatland,Edwin A. Abbott
FYSM-115,9780465018963,"The Unfinished Game: Pascal, Fermat, and the Seventeenth-Century Letter that Made the World Modern",Keith Devlin
FYSM-115,9781107604636,"A Mathematician's Apology",G. H. Hardy
FYSM-117,9780553375404,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn
FYSM-128,9780915144860,Second Treatise of Government,John Locke
FYSM-128,9780807043110,Silencing the Past: Power and the Production of History,Michel-Rolph Trouillot
FYSM-128,9780141439822,Robinson Crusoe,Daniel Defoe
FYSM-128,9780807050255,Villains of All Nations: Atlantic Pirates in the Golden Age,Marcus Rediker
FYSM-128,9781568588247,"Days of Destruction, Days of Revolt","Chris Hedges, Joe Sacco"
FYSM-128,9780199368990,The Slave Trade and the Origins of International Human Rights Law,Jenny S. Martinez
FYSM-134,9780061353246,Predictably Irrational,Dan Ariely
FYSM-136,9780915144433,On Liberty,John Stuart Mill
FYSM-136,9780679733874,The Republic,Plato
FYSM-136,9780226500447,The Prince,Niccolo Machiavelli
FYSM-136,9780691122946,On Bullshit,Harry G. Frankfurt
FYSM-146,9780743418171,Good in Bed,Jennifer Weiner
FYSM-146,9780826427885,"Celine Dion's Let's Talk About Love: A Journey to the End of Taste",Carl Wilson
FYSM-146,9780199577033,"Lady Audley's Secret","Mary Elizabeth Braddon, Lyn Pykett"
